path,label
../single_img/CLSFBI0203A_S003_B_1_152.png,1
../single_img/CLSFBI0203A_S003_B_1_79.png,1
../single_img/CLSFBI0203A_S003_B_1_88.png,1
../single_img/CLSFBI0203A_S004_B_1_311.png,1
../single_img/CLSFBI0203A_S004_B_1_364.png,1
../single_img/CLSFBI0203A_S004_B_1_366.png,1
../single_img/CLSFBI0203A_S004_B_1_405.png,1
../single_img/CLSFBI0203A_S004_B_1_440.png,1
../single_img/CLSFBI0204A_S003_B_1_269.png,1
../single_img/CLSFBI0204A_S003_B_1_279.png,1
../single_img/CLSFBI0204A_S003_B_1_281.png,1
../single_img/CLSFBI0204A_S003_B_1_304.png,1
../single_img/CLSFBI0204A_S003_B_1_316.png,1
../single_img/CLSFBI0204A_S004_B_1_262.png,1
../single_img/CLSFBI0213A_S003_B_1_157.png,1
../single_img/CLSFBI0213A_S003_B_1_159.png,1
../single_img/CLSFBI0213A_S003_B_1_168.png,1
../single_img/CLSFBI0213A_S003_B_1_305.png,1
../single_img/CLSFBI0213A_S003_B_1_317.png,1
../single_img/CLSFBI0213A_S003_B_1_353.png,1
../single_img/CLSFBI0213A_S003_B_1_356.png,1
../single_img/CLSFBI0213A_S003_B_1_364.png,1
../single_img/CLSFBI0213A_S003_B_1_392.png,1
../single_img/CLSFBI0213A_S003_B_1_393.png,1
../single_img/CLSFBI0213A_S003_B_1_412.png,1
../single_img/CLSFBI0213A_S003_B_1_416.png,1
../single_img/CLSFBI2315A_S005_B_1_572.png,1
../single_img/CLSFBI2315A_S005_B_1_585.png,1
../single_img/CLSFBI2315A_S048_B_1_110.png,1
../single_img/CLSFBI2315A_S048_B_1_113.png,1
../single_img/CLSFBI2315A_S048_B_1_141.png,1
../single_img/CLSFBI2315A_S048_B_1_222.png,1
../single_img/CLSFBI2315A_S048_B_1_225.png,1
../single_img/CLSFBI2315A_S048_B_1_226.png,1
../single_img/CLSFBI2315A_S048_B_1_237.png,1
../single_img/CLSFBI2315A_S048_B_1_292.png,1
../single_img/CLSFBI2315A_S048_B_1_56.png,1
../single_img/CLSFBI2402A_S050_B_1_101.png,1
../single_img/CLSFBI2402A_S050_B_1_110.png,1
../single_img/CLSFBI1902A_S040_B_1_50.png,1
../single_img/CLSFBI1902A_S041_B_1_52.png,1
../single_img/CLSFBI1904A_S040_B_1_122.png,1
../single_img/CLSFBI1904A_S040_B_1_123.png,1
../single_img/CLSFBI1904A_S040_B_1_137.png,1
../single_img/CLSFBI1904A_S040_B_1_98.png,1
../single_img/CLSFBI1904A_S041_B_1_42.png,1
../single_img/CLSFBI1905A_S040_B_1_117.png,1
../single_img/CLSFBI1905A_S040_B_1_476.png,1
../single_img/CLSFBI1905A_S040_B_1_491.png,1
../single_img/CLSFBI1905A_S041_B_1_333.png,1
../single_img/CLSFBI2103A_S044_B_1_154.png,1
../single_img/CLSFBI2103A_S044_B_1_70.png,1
../single_img/CLSFBI2103A_S045_B_1_441.png,1
